segment,install_date,days_since_install,user_id,cohort_size,retention_rate
low,2024-01-01,0,60,60,1.0
low,2024-01-01,1,28,60,0.4666666666666667
low,2024-01-01,2,0,60,0.0
low,2024-01-01,3,0,60,0.0
low,2024-01-01,4,0,60,0.0
low,2024-01-01,5,0,60,0.0
low,2024-01-01,6,0,60,0.0
low,2024-01-01,7,0,60,0.0
low,2024-01-01,8,0,60,0.0
low,2024-01-01,9,0,60,0.0
low,2024-01-01,10,0,60,0.0
low,2024-01-01,11,0,60,0.0
low,2024-01-01,12,0,60,0.0
low,2024-01-01,13,0,60,0.0
low,2024-01-01,14,0,60,0.0
low,2024-01-01,15,0,60,0.0
low,2024-01-01,16,0,60,0.0
low,2024-01-01,17,0,60,0.0
low,2024-01-01,18,0,60,0.0
low,2024-01-01,19,0,60,0.0
low,2024-01-01,20,0,60,0.0
low,2024-01-01,21,0,60,0.0
low,2024-01-01,22,0,60,0.0
low,2024-01-01,23,0,60,0.0
low,2024-01-01,24,0,60,0.0
low,2024-01-01,25,0,60,0.0
low,2024-01-01,26,0,60,0.0
low,2024-01-01,27,0,60,0.0
low,2024-01-01,28,0,60,0.0
low,2024-01-01,29,0,60,0.0
low,2024-01-01,30,0,60,0.0
low,2024-01-01,31,0,60,0.0
low,2024-01-01,32,0,60,0.0
low,2024-01-01,33,0,60,0.0
low,2024-01-01,34,0,60,0.0
low,2024-01-01,35,0,60,0.0
low,2024-01-01,36,0,60,0.0
low,2024-01-01,37,0,60,0.0
low,2024-01-01,38,0,60,0.0
low,2024-01-02,0,59,59,1.0
low,2024-01-02,1,29,59,0.4915254237288136
low,2024-01-02,2,0,59,0.0
low,2024-01-02,3,0,59,0.0
low,2024-01-02,4,0,59,0.0
low,2024-01-02,5,0,59,0.0
low,2024-01-02,6,0,59,0.0
low,2024-01-02,7,0,59,0.0
low,2024-01-02,8,0,59,0.0
low,2024-01-02,9,0,59,0.0
low,2024-01-02,10,0,59,0.0
low,2024-01-02,11,0,59,0.0
low,2024-01-02,12,0,59,0.0
low,2024-01-02,13,0,59,0.0
low,2024-01-02,14,0,59,0.0
low,2024-01-02,15,0,59,0.0
low,2024-01-02,16,0,59,0.0
low,2024-01-02,17,0,59,0.0
low,2024-01-02,18,0,59,0.0
low,2024-01-02,19,0,59,0.0
low,2024-01-02,20,0,59,0.0
low,2024-01-02,21,0,59,0.0
low,2024-01-02,22,0,59,0.0
low,2024-01-02,23,0,59,0.0
low,2024-01-02,24,0,59,0.0
low,2024-01-02,25,0,59,0.0
low,2024-01-02,26,0,59,0.0
low,2024-01-02,27,0,59,0.0
low,2024-01-02,28,0,59,0.0
low,2024-01-02,29,0,59,0.0
low,2024-01-02,30,0,59,0.0
low,2024-01-02,31,0,59,0.0
low,2024-01-02,32,0,59,0.0
low,2024-01-02,33,0,59,0.0
low,2024-01-02,34,0,59,0.0
low,2024-01-02,35,0,59,0.0
low,2024-01-02,36,0,59,0.0
low,2024-01-02,37,0,59,0.0
low,2024-01-02,38,0,59,0.0
low,2024-01-03,0,63,63,1.0
low,2024-01-03,1,31,63,0.49206349206349204
low,2024-01-03,2,0,63,0.0
low,2024-01-03,3,0,63,0.0
low,2024-01-03,4,0,63,0.0
low,2024-01-03,5,0,63,0.0
low,2024-01-03,6,0,63,0.0
low,2024-01-03,7,0,63,0.0
low,2024-01-03,8,0,63,0.0
low,2024-01-03,9,0,63,0.0
low,2024-01-03,10,0,63,0.0
low,2024-01-03,11,0,63,0.0
low,2024-01-03,12,0,63,0.0
low,2024-01-03,13,0,63,0.0
low,2024-01-03,14,0,63,0.0
low,2024-01-03,15,0,63,0.0
low,2024-01-03,16,0,63,0.0
low,2024-01-03,17,0,63,0.0
low,2024-01-03,18,0,63,0.0
low,2024-01-03,19,0,63,0.0
low,2024-01-03,20,0,63,0.0
low,2024-01-03,21,0,63,0.0
low,2024-01-03,22,0,63,0.0
low,2024-01-03,23,0,63,0.0
low,2024-01-03,24,0,63,0.0
low,2024-01-03,25,0,63,0.0
low,2024-01-03,26,0,63,0.0
low,2024-01-03,27,0,63,0.0
low,2024-01-03,28,0,63,0.0
low,2024-01-03,29,0,63,0.0
low,2024-01-03,30,0,63,0.0
low,2024-01-03,31,0,63,0.0
low,2024-01-03,32,0,63,0.0
low,2024-01-03,33,0,63,0.0
low,2024-01-03,34,0,63,0.0
low,2024-01-03,35,0,63,0.0
low,2024-01-03,36,0,63,0.0
low,2024-01-03,37,0,63,0.0
low,2024-01-03,38,0,63,0.0
low,2024-01-04,0,58,58,1.0
low,2024-01-04,1,31,58,0.5344827586206896
low,2024-01-04,2,0,58,0.0
low,2024-01-04,3,0,58,0.0
low,2024-01-04,4,0,58,0.0
low,2024-01-04,5,0,58,0.0
low,2024-01-04,6,0,58,0.0
low,2024-01-04,7,0,58,0.0
low,2024-01-04,8,0,58,0.0
low,2024-01-04,9,0,58,0.0
low,2024-01-04,10,0,58,0.0
low,2024-01-04,11,0,58,0.0
low,2024-01-04,12,0,58,0.0
low,2024-01-04,13,0,58,0.0
low,2024-01-04,14,0,58,0.0
low,2024-01-04,15,0,58,0.0
